,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Color coding to denote open source (green), proprietary (orange), partial open source (yellow)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link ISV name to Trello board for status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AI and Machine Learning Lifecycle,,,,,,Data Analysis,,,Data Processing,,,,,,Data Store,,,,,,Data Governance and Security,,,,,,,,Infrastructure,,,,
,Part of ODH?,Platform vendor?,Experimentation & Parameter Tuning,Model Serving,Lineage,Interactive Workbench,Pre-defined Models as a Service,AI/ML Modules and Extensions,BI,Dashboards and Charts,Data Exploration,Message Bus,Workflows,Data Orchestration,Analytics Engine,Stream Processing,Batch Processing,Object Storage,In Memory Data Store,Data Virtualization,NoSQL Databases,Relational Databases,Analytics Database/Data Warehouse,Provenance and Lineage,Authentication,Authorization,Data Encryption,Data Catalog,Data Classification,Data Versioning,API Management,Monitoring and Alerting,Metric Visualization,AIOPs,Hardware Acceleration,Hardware Stacks
ODH,x,,,Seldon Core,,"JupyterHub, Jupyter Notebooks",Open Data Hub AI Library,BeakerX,,"Cloudera Hue, Grafana",Cloudera Hue,"AMQ Streams, Strimzi Kafka",Argo,,Apache Spark,KSQL,Apache Spark,Ceph,,,,,,,,,,Hive Metastore,,,,Prometheus,Grafana,,,
ODH Roadmap,x,,"Kubeflow-Kaitib, MLFlow, Kubeflow-Pipelines","Kubeflow-Tensorflow Serving, Kubeflow-PyTorch Serving, Kubeflow-NVIDIA TensorRT Inference Server, Kubeflow-TensorFlow Batch Predict, Kubeflow-Seldon",,KubeFlow-Jupyter Notebooks,,,Apache Superset,Apache Superset,,,"Kubeflow - TensorFlow Training, Pipelines",,Presto,,,,,Open Data Hub Data Virtualization,,,,Apache Atlas,,"Open Policy Agent, Apache Ranger",,,Apache Atlas,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA,x,,DIGITS,TensorRT Inference Server,,DIGITS,DIGITS,RAPIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,NVIDIA GPU Operator,
IBM,,x,Watson Machine Learning,Watson Machine Learning,,Watson Studio,"Watson Studio, Cloud Pak for Data, Watson Assistant",,Cognos Analytics,Cognos Analytics,,,"Cloud Pak for Data, InfoSphere DataStage, SPSS Modeler",,,"Cloud Pak for Data, IBM Streams",Cloud Pak for Data,,,"Cloud Pak for Data, IBM Data Virtualization",,,"Cloud Pak for Data, IBM Db2 Warehouse",,,,,"Cloud Pak for Data, InfoSphere DataStage, Watson Knowledge Catalog",Cloud Pak for Data,Cloud Pak for Data,,,,,,
Anaconda,,,,Anaconda Enterprise,Anaconda Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CognitiveScale,,x,,,,Studio,"Engage AI, Amplify AI",,,,,,,,,,,,,Fabric,,,,,Fabric,Fabric,,,,,,Cortex Certifai,X-RAI,Cortex Certifai,,
Seldon,x,,,Seldon core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H20.ai,,x,"H2O, Driverless AI","H2O, Driverless AI",,"H2O, Driverless AI",,,,Driverless AI,Driverless AI,,"H2O, Driverless AI",,"H2O, Driverless AI",,,,,,,,,,,,,,,,,,,,,
Qlik,,,,,,,,,Qlik,Qlik,Qlik,,,,,,,,,,,,,,,,,,,,,,,,,
Starburst,,,,,,,,,,,,,,,Presto,,,,,,,,,,,,,,,,,,,,,
