,,,Product Information,,,,,,,,,,,AI and Machine Learning Lifecycle,,,,,,Data Analysis,,,Data Processing,,,,,,Data Store,,,,,,Data Governance and Security,,,,,,,,Infrastructure,,,,
ISVs,Platform vendor?,Product Name,Open Source,Part of ODH?,Community Operator,Certified Operator,UBI Implemented,Homepage URL,Repository,Logo,Twittter,Crunchbase,Component Projects,Experimentation & Parameter Tuning,Model Serving,Lineage,Interactive Workbench,Pre-defined Models as a Service,AI/ML Modules and Extensions,Business Intelligence,Dashboards and Charts,Data Exploration,Message Bus,Workflows,Data Orchestration,Analytics Engine,Stream Processing,Batch Processing,Object Storage,In Memory Data Store,Data Virtualization,NoSQL Databases,Relational Databases,Analytics Database/Data Warehouse,Provenance and Lineage,Authentication,Authorization,Data Encryption,Data Catalog,Data Classification,Data Versioning,API Management,Monitoring and Alerting,Metric Visualization,AIOPs,Hardware Acceleration,Hardware Stacks
NVIDIA,FALSE,DIGITS,full,FALSE,FALSE,FALSE,FALSE,https://developer.nvidia.com/digits,https://github.com/NVIDIA/DIGITS,nvidia.svg,https://twitter.com/NVIDIAHPCDev,https://www.crunchbase.com/organization/no-data,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,FALSE,TensorRT Inference Server,full,FALSE,FALSE,FALSE,FALSE,https://developer.nvidia.com/tensorrt,https://github.com/NVIDIA/tensorrt-inference-server,nvidia.svg,https://twitter.com/nvidiaai,https://www.crunchbase.com/organization/no-data,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,FALSE,RAPIDS,full,FALSE,FALSE,FALSE,FALSE,https://rapids.ai/,https://github.com/rapidsai/cuml,nvidia.svg,https://twitter.com/rapidsai,https://www.crunchbase.com/organization/no-data,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,FALSE,NVIDIA GPU Operator,full,FALSE,TRUE,FALSE,FALSE,https://docs.nvidia.com/datacenter/kubernetes/openshift-on-gpu-install-guide/index.html,https://github.com/NVIDIA/gpu-operator,nvidia.svg,https://twitter.com/NVIDIAHPCDev,https://www.crunchbase.com/organization/no-data,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
IBM,TRUE,Watson Machine Learning,proprietary,FALSE,FALSE,FALSE,FALSE,https://www.ibm.com/cloud/machine-learning,,ibm.svg,https://twitter.com/IBMcloud,https://www.crunchbase.com/organization/no-data,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,TRUE,Watson Studio,proprietary,FALSE,FALSE,FALSE,FALSE,https://www.ibm.com/cloud/watson-studio,,ibm.svg,https://twitter.com/IBMcloud,https://www.crunchbase.com/organization/no-data,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,TRUE,Cloud Pak for Data,proprietary,FALSE,FALSE,FALSE,FALSE,https://www.ibm.com/products/cloud-pak-for-data,,ibm.svg,https://twitter.com/IBMcloud,https://www.crunchbase.com/organization/no-data,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,TRUE,Watson Assistant,proprietary,FALSE,FALSE,FALSE,FALSE,https://www.ibm.com/cloud/watson-assistant/,,ibm.svg,https://twitter.com/IBMcloud,https://www.crunchbase.com/organization/no-data,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,TRUE,Cognos Analytics,proprietary,FALSE,FALSE,FALSE,FALSE,https://www.ibm.com/products/cognos-analytics,,ibm.svg,https://twitter.com/IBMcloud,https://www.crunchbase.com/organization/no-data,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,TRUE,InfoSphere DataStage,proprietary,FALSE,FALSE,FALSE,FALSE,https://www.ibm.com/products/infosphere-datastage,,ibm.svg,https://twitter.com/IBMcloud,https://www.crunchbase.com/organization/no-data,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,TRUE,SPSS Modeler,proprietary,FALSE,FALSE,FALSE,FALSE,https://www.ibm.com/products/spss-modeler,,ibm.svg,https://twitter.com/IBMcloud,https://www.crunchbase.com/organization/no-data,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
